00-Due Date (Seq.)-C:  Work Order Operations
01-Full Labor Sequence-A:  Work Order Header
02-Work Order Number-A:  Work Order Header
03-Router Number-O:  Router
04-Router Description-O:  Router
05-FG Part-A:  Work Order Header
06-FG Part Description-A:  Work Order Header
07-Customer Number-A:  Work Order Header
08-Customer Name-A:  Work Order Header
09-Price-A:  Work Order Header
10-Priority-A:  Work Order Header
11-Product Line-A:  Work Order Header
12-Project-A:  Work Order Header
13-Phase-A:  Work Order Header
14-Full Sales Order-A:  Work Order Header
15-Run Quantity-A:  Work Order Header
16-PO Number-A:  Work Order Header
17-Additional Description 1-A:  Work Order Header
18-Additional Description 2-A:  Work Order Header
19-Additional Description 3-A:  Work Order Header
20-Customer Drawing Number-B:  Work Order Options
21-Customer Part Number-B:  Work Order Options
22-Direct BOM Parent WO-K:	BOM Parent
23-User Field 1-B:  Work Order Options
24-User Field 2-B:  Work Order Options
25-User Field 3-B:  Work Order Options
26-User Field 4-B:  Work Order Options
27-User Field 5-B:  Work Order Options
28-User Field 6-B:  Work Order Options
29-User Field 7-B:  Work Order Options
30-User Field 8-B:  Work Order Options
31-User Field 9-B:  Work Order Options
32-User Field 10-B:  Work Order Options
33-Raw Material-C:  Work Order Operations
34-Labor Comments-C:  Work Order Operations
35-Bin-D:  Inventory Header (FG)
36-Sort Code-D:  Inventory Header (FG)
37-Vendor Customer-D:  Inventory Header (FG)
38-User Defined 1-D:  Inventory Header (FG)
39-User Defined 2-D:  Inventory Header (FG)
40-Weight-E:  Part Options (FG)
41-Stocking Bin-E:  Part Options (FG)
42-Length-E:  Part Options (FG)
43-Width-E:  Part Options (FG)
44-Thickness-E:  Part Options (FG)
45-Density-E:  Part Options (FG)
46-Alternate Description 1-E:  Part Options (FG)
47-Alternate Description 2-E:  Part Options (FG)
48-Part Number-F:  Inventory Header (Raw Material)
49-Product Line-F:  Inventory Header (Raw Material)
50-Bin-F:  Inventory Header (Raw Material)
51-Sort Code-F:  Inventory Header (Raw Material)
52-Vendor Customer-F:  Inventory Header (Raw Material)
53-User Defined 1-F:  Inventory Header (Raw Material)
54-User Defined 2-F:  Inventory Header (Raw Material)
55-Weight-G:  Part Options (Raw Material)
56-Stocking Bin-G:  Part Options (Raw Material)
57-Length-G:  Part Options (Raw Material)
58-Width-G:  Part Options (Raw Material)
59-Thickness-G:  Part Options (Raw Material)
60-Density-G:  Part Options (Raw Material)
61-Alternate Description 1-G:  Part Options (Raw Material)
62-Alternate Description 2-G:  Part Options (Raw Material)
63-Order Number-H:  Sales Order Header
64-Order Type-H:  Sales Order Header
65-Customer PO-H:  Sales Order Header
66-User Field 1-I:  Sales Order Options
67-User Field 2-I:  Sales Order Options
68-User Field 3-I:  Sales Order Options
69-User Field 4-I:  Sales Order Options
70-User Field 5-I:  Sales Order Options
71-Order Line-J:  Sales Order Line
72-Line Type-J:  Sales Order Line
73-Customer Part Number-J:  Sales Order Line
74-Info 1-J:  Sales Order Line
75-Info 2-J:  Sales Order Line
76-Group ID-J:  Sales Order Line
77-User Field 1-J:  Sales Order Line
78-User Field 2-J:  Sales Order Line
79-User Field 3-J:  Sales Order Line
80-User Field 4-J:  Sales Order Line
81-User Field 5-J:  Sales Order Line
82-FG Part (W/O Rev)-D:  Inventory Header (FG)
83-FG Part Rev-D:  Inventory Header (FG)
84-FG Part Loc-D:  Inventory Header (FG)
85-Raw Mat Part (W/O Rev)-F:  Inventory Header (Raw Material)
86-Raw Mat Part Rev-F:  Inventory Header (Raw Material)
87-Raw Mat Part Description-F:  Inventory Header (Raw Material)
88-Job-A:  Work Order Header
89-Suffix-A:  Work Order Header
90-Labor Sequence-C:  Work Order Operations
91-Work Center-C:  Work Order Operations
92-Date Created-A:  Work Order Header
93-Remaining Quantity (Job)-A:  Work Order Header
94-Remaining Quantity (Seq.)-C:  Work Order Operations
95-Start Date (Job)-A:  Work Order Header
96-Start Date (Seq.)-C:  Work Order Operations
97-Due Date (Job)-A:  Work Order Header
98-Workcenter List-C:  Work Order Operations
99-Direct BOM Parent Product Line-K:	BOM Parent
100-Product Line-L:	Top BOM Parent
101-Direct BOM Parent Part-K:	BOM Parent
102-Direct BOM Parent PO-K:	BOM Parent
103-Sales Order-L:	Top BOM Parent
104-Direct BOM Parent SO-K:	BOM Parent
105-Sales Order Line-L:	Top BOM Parent
106-Direct BOM Parent SO Line-K:	BOM Parent
107-Full Sales Order-L:	Top BOM Parent
108-Direct BOM Parent Full SO-K:	BOM Parent
109-Part-L:	Top BOM Parent
110-Purchase Order-L:	Top BOM Parent
111-Work Order-L:	Top BOM Parent
112-Sales Order User Field 1-L:	Top BOM Parent
